Id,Label,Owner,Role,Longitude,Latitude,ref
1,San Javier,Transnet,Substation,-71.71172055,-35.5887402617,original
2,Constitucion,Transnet,Substation,-72.4027163506,-35.3637005831,original
3,Paposo,Transelec,Switch,-69.9436702808,-25.7306077564,converted
4,Tap Off Taltal,Electrica Panguipulli,Switch,-69.9436702808,-25.7306077564,converted
5,Eolica Taltal,P.E Taltal,Plant,-69.8484638639,-25.059477202,original
6,Diego de Almagro,Transelec,Substation,-70.0388766977,-26.3979710839,original
7,Diego de Almagro,Endesa,Plant,-70.0386764329,-26.3984370693,original
8,El Salvador,SWC,Plant,-70.0395552839,-26.392251609,original
9,La Union,STS,Tap-ed,-73.064835422,-40.2916498692,original
10,Los Lagos,STS,Tap-ed,-72.8043499857,-39.864945377,original
11,San Fernando,Transnet,Substation,-70.9833991429,-34.5979272566,original
12,Portezuelo,Transnet,Tap-ed,-71.6127844771,-34.3477966743,original
13,Taltal,Elecda,Substation,-70.473818127,-25.4130051187,original
14,Emelda,Emelda,Plant,-70.0222496889,-26.3803179925,original
15,Diego de Almagro,Almeyda,Plant,-70.0194165856,-26.3795888296,original
16,Barro Blanco,STS,Tap-ed,-73.0856723004,-40.5769294964,original
17,Melipulli,STS,Tap-ed,-72.950775208,-41.4469604193,original
18,Tap Quilmo,Unknown,Tap node,-72.2069276775,-36.8583757585,converted
19,Lajuelas,Unknown,Switch,-72.2069276775,-36.8583757585,converted
20,Choapa,Transnet,Tap-ed,-71.4773651352,-31.9372459507,original
21,Quillota,Transelec,Substation,-71.251379066,-32.9529453461,original
22,Tap Chañares,Unknown,Switch,-70.0388766977,-26.3979710839,converted
23,Cardones,Transelec,Substation,-70.3869767493,-27.4889219288,original
24,Llano de Llampos,Amanecer Solar,Plant,-70.1711434012,-27.1174606208,original
25,Punta Colorada,Transelec,Substation,-71.047665658,-29.3669424795,original
26,Punta Colorada,Barrick Generacion,Plant,-71.0585306628,-29.3662216022,original
27,Llanta,Codelco Chile - División Salvador,Tap-ed,-69.7994757727,-26.3291061772,original
28,Tap San Gregorio,Unknown,Tap node,-71.8191533585,-36.2787627389,original
29,Monterrico,Transnet,Tap-ed,-72.0617740084,-36.6120982449,original
30,Tap San Felipe 110kV,Chilquinta,Tap node,-70.715944902,-32.7635473045,original
31,Tap San Felipe 44kV,Chilquinta,Tap node,-70.7164455759,-32.7631491095,original
32,Tap Llanta,Unknown,Switch,-69.8114504886,-26.3361847602,converted
33,El Salvador,Codelco Chile - División Salvador,Tap-ed,-69.5959989955,-26.2814473634,original
34,Malloa Nueva,Transnet,Tap-ed,-70.9450889867,-34.4639539267,converted
35,La Ronda,Transnet,Tap-ed,-70.9593954049,-34.5583547894,original
